135,206,235,LightBlue
59,166,238,LightBlue
8,112,185,LightBlue
0,191,254,LightBlue
2,204,254,LightBlue
0,128,255,LightBlue
0,0,254,Darkblue
0,0,255,Darkblue
3,91,188,Darkblue
0,0,154,Darkblue
0,48,143,Darkblue
1,119,193,Darkblue
0,0,0,NoID
47,47,47,NoID
27,32,35,NoID
9,0,0,NoID
49,54,57,NoID
28,28,28,NoID
37,37,37,NoID
28,29,33,NoID
40,39,45,NoID
36,29,33,NoID
10,18,13,NoID
37,202,38,NoID
0,255,0,NoID
159,217,140,NoID
64,189,85,NoID
0,166,82,NoID
33,83,54,NoID
0,128,1,NoID
125,194,75,NoID
123,252,1,NoID
125,232,88,NoID
35,67,17,NoID
252,79,19,NoID
255,103,0,NoID
255,127,0,NoID
255,103,0,NoID
255,122,1,NoID
255,102,0,NoID
254,101,33,NoID
255,153,0,NoID
255,128,0,NoID
61,13,3,NoID
209,23,23,NoID
254,0,0,NoID
139,0,0,NoID
206,0,25,NoID
128,24,24,NoID
204,22,0,NoID
220,0,3,NoID
174,32,26,NoID
254,0,2,NoID
127,0,255,NoID
159,0,255,NoID
145,0,255,NoID
148,0,210,NoID
145,0,255,NoID
127,0,255,NoID
145,0,255,NoID
125,0,240,NoID
148,0,211,NoID
130,0,220,NoID
243,239,227,NoID
253,251,251,NoID
229,224,221,NoID
249,255,241,NoID
242,233,228,NoID
250,240,230,NoID
242,233,228,NoID
255,237,231,NoID
248,249,254,NoID
238,228,220,NoID
255,242,39,NoID
252,234,4,NoID
254,242,0,NoID
247,224,23,NoID
255,166,0,NoID
255,183,9,NoID
249,217,94,NoID
255,255,0,NoID
246,191,39,NoID
255,215,12,NoID
